gacoan_name,name,rating,review
Mie Gacoan Semarang,Mina Azhariyani,5.0,"Such a great place to hang out, and the noodle was so good"
Mie Gacoan Semarang,edwiga febriliyanti,4.0,"Nice place for hang out with friends and family. We can choose all of the menu we want here like noodles, dimsum, ice, etc. The price is cheaper than othes. But it is too crowded"
Mie Gacoan Semarang,Mizt Dhealyzha,5.0,"I need to queue, hiks! this place sells cheap noodles n dimsum. But also delicious. Have big parking lot and place to sit. Need to wait quiet sometime for the food. it's an open kitchen concept."
Mie Gacoan Semarang,Naufal Maulana Ermansyah,5.0,"the food was lit, also the place it's one of the most cozy restaurant in semarang then the price? affordable, i can say it's very cheap for quite big resto the only thing i didn't like is the queue haha, but that's good for the restaurant's business overall, this place is worth a lot"
Mie Gacoan Semarang,fathur nrohman,5.0,Good in price delicious in taste
Mie Gacoan Semarang,Danu Djojosoemarto,4.0,"Surprisingly lively considering current situation (Ramadan & covid-19). Taste quite nice,there is a 50% off opening promo. On the minus side cleanliness is rather lacking,and if there is a queue waiting time is quite long. However the taste and atmosphere make up for these shortcoming."
Mie Gacoan Semarang,Indah Suciati,5.0,Cheap foods with a cozy place...
Mie Gacoan Semarang,Cintami Oktavia,5.0,"I love this place , there are have a big parking space and big space to dine in"
Mie Gacoan Semarang,feby,5.0,who doesn't like gacoan⁉️ 🤤
Mie Gacoan Semarang,rafika eviana,4.0,"Delicious noodle with affordable price. Spacious parking area, but the service is quite slow."
Mie Gacoan Semarang,ari nugroho,5.0,"The cheapest noodle place in town. Make sure you come here with your partner, one queue on the cahsier the other look for the table"
Mie Gacoan Semarang,rashinta wahyu,5.0,"The spicy level of ""mie iblis"" noodle was not so really hot and still can be enjoyable while ate it."
Mie Gacoan Semarang,Bryan 07,4.0,"Excellent taste, standard service"
Mie Gacoan Semarang,Rida Yatul Ari Fadlina,5.0,Good✨
Mie Gacoan Semarang,Deafa Pravitadevi,5.0,RAMEEE
Mie Gacoan Semarang,Galilea Corsel,5.0,"The place is quite crowd, and it really large, the foods and drinks are taste good."
Mie Gacoan Semarang,S. Risti H.,5.0,"Cozy place. Quick service. Affordable price. Most important, it's tasty."
Mie Gacoan Semarang,Dewanti Diyah Safitri,5.0,Good
Mie Gacoan Semarang,Ferdianto Wijaya,5.0,Good food
Mie Gacoan Semarang,Miftakhul Falah,5.0,"This is very crowd place, good meal, very recommended."
Mie Gacoan Semarang,Muhammad Zenada Ilham Pratama,5.0,Its very nice place and worth it for people. Very fast service and facility was very excited
Mie Gacoan Semarang,Elsa Juli,4.0,"Good place, good food"
Mie Gacoan Semarang,Adam Rizky,5.0,"Spacious area, very comfortable, affordable price. Highly recommended!"
Mie Gacoan Banyumanik,Dessy Susiloningrum,5.0,"It's one of the famous noodle restaurants in town. It's always crowded with offline and online buyers. The price is affordable enough, even for students. Therefore, you will see long lines of visitors who order the food. It has large area to accommodate many visitors. Toilet and sink are provided for visitor's convenience. Visitors will also be pampered with an attractive interior space it has. All in all, it's definitely a good choice to be considered to visit when you're hungry."
Mie Gacoan Banyumanik,Jonathan Bayu,5.0,"A highly recommended place for its price and its overall experience. I was stunned by how tasty the mie iblis was (as i thought peeps just overreacted about it). The portioning was okay, the menu variant was sufficient, and the place was meticulously designed for coziness or as a families hangout hub. Good job and keep up!"
Mie Gacoan Banyumanik,Lila Aisyah,4.0,"The noodles are really tasty and flavorful, and it has many choices of dimsum. But sadly, it's too crowded and I have to wait for a long time."
Mie Gacoan Banyumanik,Ayyub Nadhif,4.0,nice food and affordable price but a bit unsanitary for the plate especially the dimsum plate
Mie Gacoan Banyumanik,Rizqa Kusuma,5.0,So tasty
Mie Gacoan Banyumanik,Desvita Imanda,5.0,Foods are awesome. Staffs are skilled and nice. Comfortable space. Definitely will come back for more!
Mie Gacoan Banyumanik,Ipung Pramudya,5.0,"low price, good food, excellent taste!"
Mie Gacoan Banyumanik,anton lauter,2.0,The Mie was already cold when it was served.Sometimes they forget your order
Mie Gacoan Banyumanik,Alphonsus Endro,5.0,👌
Mie Gacoan Banyumanik,aleik nurwahyudy,4.0,Antrinya wow...dine in better than take away
Mie Gacoan Banyumanik,Muhammad Ade,5.0,So crowded and waiting a long time. But food is good.
Mie Gacoan Banyumanik,Eva Mardiningsih,5.0,"Good food, good place, good price"
Mie Gacoan Banyumanik,Bagas Wisanggeni,5.0,Very good place to dine inParking: 8 car park
Mie Gacoan Banyumanik,Ajeng Ridha,5.0,"The staffs are nice, and the food is good :)"
Mie Gacoan Banyumanik,reza dwi,5.0,very beautiful place Food: 4/5 | Service: 4/5 | Atmosphere: 4/5 …More
Mie Gacoan Banyumanik,tris tama04,5.0,Sipp
Mie Gacoan Banyumanik,Rahardjo Agung - Jojo,4.0,Good
Mie Gacoan Banyumanik,Ardian F Firmansyah,5.0,Joss
Mie Gacoan Banyumanik,Tsalis Rizka Mubarok,5.0,Delicious noodle
Mie Gacoan Banyumanik,Frans Parlindungan,5.0,Ok
Mie Gacoan Banyumanik,dining maenuno,5.0,Loved it
Mie Gacoan Banyumanik,Sasa,5.0,👌👌
Mie Gacoan Banyumanik,Daisy,5.0,"(Translated by Google) Try the breadfruit gacoan, the place is spacious and aesthetically pleasing for those who want to take photos. The toilet is also quite clean. The service is quite friendly and plentiful. Me gacoan here is open until 11 pm. So don't worry. What I ordered as usual, it's listed in the photo. For taste, the taste is the same as other me gacoan branches. And here the parking lot is spacious, yes.. and in my opinion it tends to be quieter than the others. Maybe because it's inside the gang... but it's good. So if you want to eat here when you're hungry, don't be afraid to faint before the food comes. Thank you 🙏🏾 (Original) Nyobain me gacoan yg di sukun, tempatnya luas dan cukup estetik bagi yg ingin sekalian foto-foto. Toilet nya pun cukup bersih. Pelayanan nya cukup ramah dan banyak. Me gacoan disini buka hingga jam 11 malam. Jadi jangan khawatir ya. Yg aku pesen seperti biasanya,, tercantum di foto ya. Untuk rasa, taste nya sama seperti cabang me gacoan lainnya. Dan disini parkirannya luas ya.. dan menurutku disini cenderung lebih sepi di bandingkan yg lainnya. Maybe Krn di dalam gank.. tapi good sih . Jd kalau mau makan di sini saat laper, gak takut pingsan dulu baru makannya datang . Terima kasih 🙏🏾"
Mie Gacoan Banyumanik,faza,4.0,"(Translated by Google) I think this gacoan noodle branch is the quietest compared to other branches in Semarang (either because it just opened or because it's too close to the one near the horse statue). The queues are small and human, they don't spread long, at least there are only 3 or 4 queues. Spacious parking, so it doesn't make traffic jams, the place is also more comfortable and wider. The staff is fast, the food is fast, the prices are super cheap. There is also a prayer room, and the place is clean. Really, compared to those in faithfulness and dr. cipto, here is the most comfortable 😂😂 (Original) Kayaknya ini cabang mie gacoan yang paling sepi dibanding cabang lainnya di Semarang (entah karena baru buka atau karena jaraknya terlalu dekat dengan yang di dekat patung kuda). Antriannya dikit dan manusiawi gak sampe menjalar panjang, paling cuma 3 atau 4 antrian saja. Parkiran luas, jadi gak bikin macet, tempatnya juga lebih nyaman dan lebih luas. Staffnya gercep, makanannya cepet, harga super murce. Ada musholla jugaa, dan bersih tempatnya. Beneran deh dibanding yang di setia budi dan dr. cipto, disini paling nyaman 😂😂 Vegetarian options: Bisa aja asal gak nambah topping Parking: Parkiran luas dan lebih aksesibel"
Mie Gacoan Banyumanik,hitaki millata,4.0,"(Translated by Google) Arrived here after sunset, only 1 person in line, fast service. There are a lot of employees and quite quick to serve guests. Spacious parking, there are parking attendants too. The place is good for photos. Instagramable. But we don't take many photos. The menu served is like fried noodles with each one with a dumpling, don't forget to buy cheese prawns and dim sum. With pocket-friendly prices, the menu offered is quite worth it, especially the bonus of a comfortable place to eat. (Original) Smpai sini abis magrib bener, cuma antre 1 orang, pelayanan cepat. Karyawan banyak sekali dan cukup sigap dalam melayani tamu. Parkir luas, ada petugas parkir jg. Tempatnya bagus buat foto2. Instagramble. Tp kami ga foto2 banyak. Menu yg disajikan seperti mi goreng dg masing2 ada pangsitnya, jangan lupa beli udang keju dan dimsum. Dengan harga yg ramah di kantong, menu yg dtawarkan cukup worth it, apalagi bonus tempat makan yg nyaman."
Mie Gacoan Banyumanik,Eka Evia R. Agustina,4.0,"(Translated by Google) First time eating here, very busy, waiting for orders to come for quite a while. Cozy place (Original) Pertama kali makan disini, rame sekali, menunggu pesanan datang cukup lama. Tempat nyaman"
Mie Gacoan Banyumanik,retno asih,5.0,"(Translated by Google) Spacious and instagramable place. The location is on the side of the road so it's easy to find. Parking area is also spacious. The complete menu is cheap, from noodles to side dishes and drinks. The employees are also friendly, but the long queue for pol makes the wait for the menu a bit long. Don't forget the health protocol. (Original) Tempat luas dan instagramable. Lokasinya dipinggir jalan jadi gampang dicari. Lahan parkir juga luas. Menu komplit murah meriah dari mie sampai side dish dan minuman. Karyawannya juga ramah, tetapi antian panjang pol jadine nunggu menune jadi agak lama. Jangan lupa protokol kesehatan ya."
Mie Gacoan Banyumanik,Cemet LH,5.0,"(Translated by Google) Banyumanik Gacoan Noodles. Located on Jalan Sukun Raya Srondol Wetan. In front of the BPOM office. Lots of noodle choices. There are levels too. Lots of drinks too. There are also plenty of table seating available. Some are inside and some are without a roof. Cheap price as you know. Anyway, Mie Gacoan Banyumanik is indeed Jozzzzzz. great. (Original) Mie Gacoan Banyumanik. Terletak di jalan Sukun Raya Srondol Wetan. Depan kantor BPOM. Pilihan Mie banyak. Ada levelnya juga. Minumannya juga banyak. Untuk meja tempat duduk juga tersedia banyak. Ada yang di dalam juga ada yang tanpa atap. Harga murah seperti yang kalian tau. Pokoknya Mie Gacoan Banyumanik memang Jozzzzzz. Mantab."
Mie Gacoan Banyumanik,Muhamad Hamid,4.0,"(Translated by Google) Gacoan Cab. Breadfruit Banyumanik Gacoan, this lady's favorite culinary, if it's a matter of taste, there's no doubt that it almost never disappoints, yes, you're scrambled koyo doi, joking doi wkwk More highlighting the place, the first impression when I entered here, the vibes are very millennial, there are indoor, outdoor and semi-outdoor. Pokoke is delicious, comfortable, outdoor, also very chill when Kanggo Maem is talking lightly, but I don't recommend playing first, talking to Maem, I'm so nervous haha Complete facilities, bathroom, prayer room, toilet and sing. I'm happy to have a sarong and mukena too, dadi is very useful, it's great. When I went to Gacoan Tembalang, I didn't have a sarong (I don't know, I don't know what else to do in London, I don't understand) until my subordinates prayed for anjir, wkwkwk That's all, good job gacoan, hopefully gacoan will continue to prosper and ojo until it's late, sis iso haha Thank you (Original) Gacoan Cab. Sukun Banyumanik 📍 Gacoan, kuliner kesayangan sista-sista banget ini, kalau soal rasa ndak perlu diragukan lagi hampir tidak pernah mengecewakan ya, orak koyo doimu, canda doi wkwk Lebih menyoroti tempatnya, kesan pertama pas masuk sini, vibesnya milenial sekali, ada indoor, outdoor dan semi outdoor. Pokoke enak nyaman sing outdoor juga chill banget pas kanggo maem karo ngobrol ringan-ringan, e tapi tak saranke maem dulu sih, ngobrol mbek maem mengko keselek haha Fasilitas lengkap, kamar mandi, mushola , wc dan sing aku seneng ada sarung dan mukena juga, dadi sangat useful lah mantap. Soale sempet ke gacoan Tembalang ndak ada sarung (entah memang gak ada opo lagi dilondri ndk paham) sampe sholat bawahan mukena anjir wkwk Segitu wae, good job gacoan semoga gacoan jaya terus dan ojo sampi mundak yaa nek iso haha Thank you ✨"
Mie Gacoan Banyumanik,Raditya Nuryamin,5.0,"(Translated by Google) Want to eat cheaply with an aesthetic place, just come here hehe Also interesting is the open kitchen concept that we can see directly the cooking process.. I've tried in 3 branches, all the service is friendly & helpful.. TOP, keep it up! (Original) Mau makan murah dg tempat yg aesthetic ya disini aja sih hehe Menariknya juga sih konsep open kitchen yg bs kita lihat langsung proses memasaknya.. Udah nyoba di 3 cabang semua pelayanannya ramah & helpful.. TOP lah pertahankan yaaa!"
Mie Gacoan Banyumanik,Nur Hikmatus S,5.0,"(Translated by Google) Easy access location, ample parking. The place is busy with quite a variety of table and chair arrangements. For the variant food and drink menu, it's filling (level noodles) at a price that I think is very safe even if you are old or even for boarding children and students. Very suitable for hanging out with friends, couples and even family. (Original) Lokasi yang mudah di akses, parkir cukup luas. Tempatnya rame dengan penataan meja kursi yang cukup beragam. Untuk menu makanan dan minuman varian, mengenyangkan (mie level) dengan harga yang menurutku aman sekali walaupun tanggal tua atau bahkan bagi anak kos dan pelajar. Cocok banget buat nongkrong bareng teman, pasangan bahkan keluarga sekalipun."
Mie Gacoan Banyumanik,Dwi,5.0,"(Translated by Google) If it's very busy at night, queue for 30 minutes, wait 30 minutes for food If it's crowded, you can't dine in All food under 10k As for the taste of the noodles, it's okay, the dumplings are okay but the size is big and there's chicken stuffing The bestt cheese shrimp is delicious, the sauce for the cheese shrimp is also delicious, the taste is 11 12 cake, the sauce is French fries 2000 thin version (Original) Kalo malem rame banget, antre 30 menit, nunggu makanan 30 menit Kalo rame gk bisa dine in Makanan dibawah 10k semua Untuk rasa mie lumayan, pangsit lumayan tp ukuran gede dan ada isian ayam Udang kejuu the bestt enak, saus buat udang kejunya juga enak, rasanya 11 12 kek sausnya french fries 2000 versi encer"
Mie Gacoan Banyumanik,Talitha Karadisa,5.0,"(Translated by Google) The place is spacious. the wait isn't long either. The name of the menu is unique and the prices are pocket-friendly. Level 1 Satan is already really spicy. For those who don't like spicy, you can order angel noodles. (Original) Tempatnya luas. nunggunya juga gak lama. Nama menunya unik dan harganya ramah di kantong. Level 1 Setan aja udah pedes banget. Buat yg gak suka pedes bisa pesen yg mie angel."
Mie Gacoan Banyumanik,kan “Kani”,4.0,"(Translated by Google) Buy gacoan here online because offline trauma doesn't get a seat, I've also had 2 wrong drinks delivered, the noodles were knocked out, ordered lev 3, came for lev 1, various kinds, finally ordered online, didn't know what was filled with cheese, it's a bit stiff, it's not hot and the taste is still the same as before that, dear, the rambutan shrimp inside is still a bit mushy, it doesn't look like it's cooked too much, so please improve, thank you (Original) Beli gacoan disini online karena trauma offline gak kebagian tempat duduk pernah juga minuman 2 x salah antar , mie nya ketuker pesen lev 3 yang dateng lev 1 , macem macem , akhirnya pesen online gataunya yg isi keju udah agak kaku ga anget dan rasanya masih sama seperti sebelum sebelumnya sayang ya udang rambutannya dalemnya masih agak blenyek kayaknya blm terlalu mateng , jadi tolong ditingkatkan terima kasih 🥢🍜"
Mie Gacoan Banyumanik,MahfudzDC,3.0,"(Translated by Google) capitalist, packaged so that it tastes good, the price increase if takeaway is not included in the menu, so it will confuse consumers (when you go there you are not allowed to dine in), but the plus is it's not too crowded, the queue isn't too long (Original) kapitalis, dibungkus jadi kureng enak, penambahan harga kalo takeaway ga disertakan dimenu jaid bikin bingung konsumen (pas itu kesana ga dibolehin dine in), tapi plus-nya sih ga terlalu rame lah ya, ngantrinya ga terlalu lama"
Mie Gacoan Banyumanik,ca cahya,5.0,"(Translated by Google) Nice place, fast service, not as long as setbud, please if you bring paper noodles, don't give the note for the noodles, the ink goes into the food :' Please open in Ungaran please really, please (Original) Tempat enak, pelayanan cepat gak selama yg di setbud, tolong lah kalo nganter mie kertas notanya jangan di kasih atas mie, tintanya kan masuk makanan :’ Tolong buka di Ungaran tolong banget, tolonggg"
Mie Gacoan Banyumanik,vntaeexie,5.0,"(Translated by Google) The place is from the highway a little bit inside, the taste is the same as in some outlets I've visited before, it's just that the food presentation service is quite time consuming, hopefully in the future it can be an evaluation material for this branch (Original) Tempat nya dari jalan raya aga sedikit masuk ke dalam,soal rasa sama seperti di beberapa outlet yang pernah saya kunjungi sebelumnya,hanya saja pelayanan penyajian makanan nya bisa dibilang cukup memakan waktu,semoga kedepannya bisa jadi bahan evaluasi buat cabang ini"
Mie Gacoan Banyumanik,agustin maharani fatmawati,5.0,"(Translated by Google) The noodles are delicious, cheap. The dumplings are also big and very tasty. For those who don't dare to be spicy, just order level 1, it's already really spicy. This branch of Mie gacoan tends to be quieter, I think, so you don't have to queue for long. (Original) Mienya enak, murah. Pangsitnya juga gede-gede dan enak banget. Buat yg ga terlalu berani pedes pesen level 1 aja udah pedes banget. Mie gacoan cabang ini cenderung lebih sepi kayaknya, jadi ga antri kelamaan."
Mie Gacoan Banyumanik,Misbah Misbakhun,5.0,(Translated by Google) It's very crowded.. It's delicious and cheap.. Even lv 2 devil noodles are already spicy.. I want to add more but I'm too lazy to queue again.. RESTAURANT TASTE WARMINDO PRICE.. (Original) Rame banget.. Enak murah.. Mie iblis lv 2 saja udah pedes.. Pengen nambah tapi males antrinya lagi.. RASA RESTORAN HARGA WARMINDO..
Mie Gacoan Banyumanik,Melanie Winoto,4.0,"(Translated by Google) There are several Gacoan branches that only serve takeaway. But in Banyumanik you can dine in. Yes, not bad... 👍 Just a suggestion, earlier I bought dumplings but it wasn't warm. Maybe next time it can be served fresh after it comes out of the steamer.. Thankyou (Original) Ada beberapa cabang gacoan yg hanya melayani takeaway. Tp di banyumanik bisa dine in. Ya not bad... 👍 Saran saja, tadi saya beli siomay tapi dalam keadaan adem ga hangat. Mungkin next nya bisa disajikan fresh seusai keluar dr steamer.. Thankyou"
Mie Gacoan Banyumanik,Anis Pramita,5.0,"(Translated by Google) When it first opened, it was very full, there were no seats left. But yesterday I tried to come here again, it wasn't as busy as it used to be. Around 2 o'clock here. The noodle portion is quite a lot for me but not for the male portion 😂 It's very spicy. I don't know it tastes pretty good too. Drinks are also fresh. The parking lot is quite spacious. The tissue that is presented is towel tissue. Service is okay too🍒 (Original) Pas awal awal buka, penuh sekali, tidak ada kursi yang sisa. Tetapi kemarin mencoba kesini lagi, tidak seramai dulu memang. Sekitar pukul 2an sampai sini. Porsi mie nya cukup banyak sih buat saya tapi untuk porsi laki laki tidak, 😂 Pedasnya mantab sekali. Entah sih rasanya cukup enak juga. Minumammya juga segar. Parkir lumayan luas lah ya. Tissue yang dihadirkan towel tissue sih. Pelayanan okay juga🍒"
Mie Gacoan Banyumanik,Uli Zahro Irsyadiah,2.0,"(Translated by Google) I've been to Gacoan many times. After tweeting about gacoan's bad management system, this is my first time here again. and it turned out to be really bad... from the cashier who only had 1 row, who queued up to the parking lot. really won't you fix it? Besides that, the people who bought it also didn't understand at all, maybe you bought the menu as much as you wanted but just chose it right in front of the cashier? I really hope that Gacoan will improve this stupid management system. don't be too slamming the price with a cheap price, but please really pay attention to the service system too. I give it 2 stars, with this cheap price for noodles. well for the service etc., I'm really sorry, the gacoan party has to evaluate again 🙏 (Original) gue udah berulang kali ke gacoan. setelah tweet ttg sistem manajemen gacoan yang buruk, ini kali pertama gue kesini lagi. dan ternyata emang buruk banget.. dari kasir yang cuma 1 row aja, yang ngantri sampe parkiran. really gaakan lu perbaikin? selain itu orang2 yang beli juga ga pengertian sama sekali, yakali beli menu segambreng tapi baru milih pas lagi di depan kasir? gue berharap banget gacoan akan memperbaiki sistem manajemen yang membagongkan ini. jangan terlalu banting harga dengan price yang murah, tapi mohon banget diperhatikan sistem pelayanannya juga. gue kasih bintang 2 deh, dengan harga se murah ini untuk mie. well untuk pelayanan dll nya, maaf banget nih pihak gacoan harus evaluasi lagi 🙏"
Mie Gacoan Banyumanik,Defi Ana,5.0,"(Translated by Google) Okay, only 1 for the cashier staff, please be patient when explaining orders to customers because like this, your place is busy if customers ask for help to explain the contents of the order again, don't laugh, ""listen, sis"" is very disrespectful in service to customers. And always say thank you when the customer has bought your product. Because even without customers, the company's turnover is not enough to pay the cashier 😊 Always be healthy, sis. Good luck to the cashier who is guarding the online motorcycle taxi cashier at 17.30 (Original) Oke,cuman 1 aja sih untuk staff kasir nya mohon sabar saat menjelaskan pesanan ke pelanggan karena gini kak tempat mu rame kalau pelanggan minta tolong dijelaskan isi pesanan lagi jangan di sengaki "" dengerin ya mbak"" sangat tidak sopan dalam pelayanan kepada pelanggan. Dan selalu ucapkan terimakasih apabila pelanggan sudah membeli product kalian. Karena tanpa pelanggan pun omset perusahaan tidak mencukupi untuk menggaji mbak kasir😊 sehat selalu mbak semoga rejeki mbak kasirnya yang jaga di kasir ojek online pukul 17.30 an lancar😉"
Mie Gacoan Banyumanik,megasp,5.0,"(Translated by Google) The decoration is the same as other branches, really comfortable. Noodle taste good. The food came quickly even though the queue was long. Student prices. (Original) Dekorasinya sama sprti cabang yg lain, nyaman kok. Rasa mie enak. Makanan cepat datangnya walaupun antrian panjang. Harga mahasiswa."
Mie Gacoan Banyumanik,festi karima,4.0,"(Translated by Google) The place is very spacious, cool, cheap prices are too high, sssssssssssssssssssssssssssssssssssssssss I hope it will be easier for you to get the certification... (Original) Tempatnya luaaass banget, keren, harga muraah lebay, ssyang belum lolos sertifikasi halal. Semoga dimudahkan agar dpt sertifikasinya ya..."
Mie Gacoan Banyumanik,putri ratna,5.0,(Translated by Google) the dumplings are cool so they don't taste good. The cheese prawns are great! fast service too. hopefully gacoan will progress (Original) pangsitnya adem jadi kurang ena. udang keju nya juarak sihh! pelayanan cepet juga. semoga gacoan semakin maju
Mie Gacoan Banyumanik,Margareth K I 3000,5.0,"(Translated by Google) The place is crowded, including during the fasting month. But the service is pretty fast. The place is also quite spacious. (Original) Tempatnya ramai termasuk pas bulan puasa. Tapi pelayannya bisa dibilang lumayan cepat. Tempatnya juga cukup luas."
Mie Gacoan Banyumanik,Nisa Muthia,5.0,"(Translated by Google) It's great. You just have to be patient and wait. Emg raze puol. Thank you, the employees are not that many. It's less pleasant when you see the small tray made of bamboo that looks really dirty. Maybe I didn't wash it 👍🏻 but that's okay, it's delicious. Thanks, please order cheese prawns or devil noodles. (Original) Enakkk bgt. Cuman ya harus sabar nungguin sih. Emg ruame puol. Trs pegawai jga udh seabrek. Kurang sreknya kalo liat yg baki kecil dr bambu itu keliatan kotor bgt. Mungkin ga sempet dicuci😭👍🏻 tp tak mengapa, enak. Trs plg suka pesen udang keju ama mie setan."
Mie Gacoan Banyumanik,El Renatys,5.0,"(Translated by Google) The service here is quite satisfying, the food arrives faster even though the count is still busy with customers... the waiters are also friendly and nimble 👍👍👍 (Original) Pelayanan disini lumayan memuaskan, makanan lebih cepat sampai padahal hitungannya lagi rame customer.. waiters nya juga ramah dan cekatan 👍👍👍"
